"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"217046_s_at",-3.46291866666666,8.73317433333333,-20.1877271213812,2.04937639714604e-40,6.23000446332342e-36,81.125865891688
"215918_s_at",-2.5091,7.4489615,-20.1646894114192,2.27892252887916e-40,6.23000446332342e-36,81.0223008618664
"202524_s_at",-2.47131366666667,9.61257683333333,-19.1170533293202,3.05596633247496e-38,5.56949864093561e-34,76.2385924655988
"230469_at",-3.4138185,5.94067975,-18.4781766715824,6.48780718839279e-37,8.86802145063439e-33,73.2499417570057
"228540_at",-1.21880166666667,7.51818866666667,-18.4083505765786,9.08841791227255e-37,9.93818498707003e-33,72.9200152295805
"239650_at",-3.105129,5.725652,-18.1678775125679,2.91534719685643e-36,2.65661013313543e-32,71.7788461912985
"1557729_at",-1.770033,7.0629145,-17.9687728430024,7.69507117782633e-36,6.01040023782364e-32,70.8282066926103
"206208_at",-2.5027335,8.35137908333333,-17.852517845059,1.35937454580806e-35,9.29047541150694e-32,70.2707209566364
"206209_s_at",-3.86942116666666,8.00884608333333,-17.5249524402568,6.81749611932067e-35,4.14162889248731e-31,68.6903672959796
"217771_at",2.06918166666667,8.93435866666667,17.3926826892051,1.3123621079175e-34,7.17533982503893e-31,68.0482425027532
"229893_at",-1.8765855,7.09923575,-17.3392030741191,1.71129199487048e-34,8.50589907450397e-31,67.7879689127705
"207302_at",-2.08049316666666,6.52517491666667,-17.2788375834535,2.31005620316026e-34,1.05251935756489e-30,67.4937357517644
"205941_s_at",3.79822799999999,8.15951616666667,17.225369071188,3.01438355832059e-34,1.26778016193214e-30,67.2327240341378
"213715_s_at",-2.01435583333333,7.65522575,-17.1537445695971,4.30786283953015e-34,1.68237429108079e-30,66.8825004842992
"204396_s_at",-2.52072516666667,9.38335941666667,-16.7725982952609,2.91112856527439e-33,1.06110636204252e-29,65.0076582208349
"229641_at",-2.33121866666667,8.044039,-16.6196768396677,6.29751894864329e-33,2.1519803032317e-29,64.2502062426182
"209470_s_at",-4.19842516666667,7.77425175,-16.5102328571962,1.09587937151306e-32,3.52454144926333e-29,63.7062809882276
"210081_at",-4.397615,9.962941,-16.2657186441231,3.7980447086718e-32,1.15365608025906e-28,62.485607395841
"231991_at",-1.7766025,7.75957758333333,-16.1739854752739,6.06566808711719e-32,1.74547580349017e-28,62.0257204466712
"205637_s_at",-1.59067166666666,6.853925,-16.1302887816912,7.58371686958778e-32,2.07319859922356e-28,61.8062869225055
"230132_at",-1.98682666666667,8.137495,-16.068112288308,1.04250846896588e-31,2.71424526384332e-28,61.4936443382782
"217428_s_at",4.25829733333333,6.64942516666667,15.9986989139276,1.48798183475432e-31,3.69797303705421e-28,61.1440479065928
"209469_at",-3.61581183333333,7.43042275,-15.9671281775738,1.74967647055681e-31,4.15928526207363e-28,60.984847308781
"203435_s_at",-2.194316,8.38944933333333,-15.9522037710786,1.8890211319639e-31,4.30342626625526e-28,60.9095459006357
"205107_s_at",1.6109275,7.53731941666667,15.8213358340507,3.70287341854685e-31,8.09818416636195e-28,60.2480807025275
"241672_at",-2.7189875,5.45985375,-15.8129633337589,3.86606423711117e-31,8.12988700630974e-28,60.2056911912776
"220027_s_at",-1.95229083333334,8.60887425,-15.8048783547114,4.03050463922012e-31,8.16177189442075e-28,60.1647492910698
"232224_at",-1.50618583333333,6.94144975,-15.7412062336813,5.59684460428574e-31,1.09288385264044e-27,59.8420396903804
"217177_s_at",-1.93427366666667,7.482167,-15.6459977854531,9.15228379016798e-31,1.72552109043943e-27,59.3585796269467
"205200_at",-2.87982466666667,10.6443163333333,-15.5700505086962,1.35591442310226e-30,2.47115403610387e-27,58.9721444475287
"226028_at",-2.39167416666667,9.28666441666667,-15.5033368946158,1.91610141807834e-30,3.37944661398171e-27,58.6321231604477
"242324_x_at",-1.79576216666667,7.12332175,-15.4661150471292,2.32438830095294e-30,3.86980161634941e-27,58.4421833073787
"209904_at",-3.11718933333333,8.13591783333333,-15.4651813808747,2.33568273140431e-30,3.86980161634941e-27,58.4374167763454
"221861_at",-1.21062633333333,8.75607066666667,-15.3656520213297,3.91807538743609e-30,6.30061093553142e-27,57.9287109313687
"238062_at",-2.2897235,8.08069458333333,-15.3496082476622,4.25924481831202e-30,6.65354886974885e-27,57.8466001678082
"49111_at",-1.3245365,8.47518308333333,-15.3359244988521,4.57370976168996e-30,6.94632170056662e-27,57.7765439533291
"235228_at",-2.581462,6.5051955,-15.2297636039362,7.9540077687602e-30,1.17536587772152e-26,57.2322920840481
"1556579_s_at",-2.85504283333333,6.82194975,-15.1913177554429,9.72190375685447e-30,1.39880286291057e-26,57.0348695235026
"209875_s_at",4.503354,10.1996773333333,15.1671986236125,1.10273521153272e-29,1.54594994078338e-26,56.9109285021716
"222416_at",1.08628883333334,8.83259475,15.1198493182399,1.41245884824529e-29,1.93065468819528e-26,56.6674194284236
"226950_at",-1.99019166666666,9.3436355,-15.1058736530931,1.519593900031e-29,2.02643406059012e-26,56.5954957815083
"219719_at",-1.897787,8.789857,-14.9938004172675,2.73330204182859e-29,3.55817355088043e-26,56.017920203488
"227780_s_at",-1.80960616666666,8.87196825,-14.846050567343,5.93907210138298e-29,7.55159923588638e-26,55.2543093172488
"202523_s_at",-1.29999133333333,8.0056495,-14.7573302841483,9.47519547146869e-29,1.1774007100058e-25,54.7946060192822
"225314_at",1.78812083333333,10.2981569166667,14.7528810038764,9.69999691489772e-29,1.17854962516007e-25,54.7715291500862
"204271_s_at",-2.76943683333334,9.42483008333333,-14.7484620694911,9.9285645490485e-29,1.18009623199832e-25,54.7486075117017
"207547_s_at",-2.6494565,9.13649075,-14.7437417873258,1.0178695125126e-28,1.18408543822609e-25,54.7241203601698
"209793_at",-1.99308466666667,6.33338616666667,-14.7328354112064,1.07810943984586e-28,1.22803403382442e-25,54.6675325516489
"226244_at",-1.56608983333333,8.77948041666667,-14.6171285790002,1.98571030978695e-28,2.21568798342044e-25,54.0663837208255
"227929_at",-2.2304325,7.83125725,-14.569846074383,2.54967317813111e-28,2.78806762028637e-25,53.8203105009454
"222738_at",-1.91168483333333,7.14334408333333,-14.5062405136917,3.57020131163138e-28,3.75381896929919e-25,53.4889067622126
"210608_s_at",1.865823,7.33669333333333,14.5018335896298,3.65451286442249e-28,3.75381896929919e-25,53.4659293159571
"235670_at",-2.68905866666666,7.89901416666667,-14.5015467191905,3.66006993188107e-28,3.75381896929919e-25,53.464433518159
"227779_at",-1.7158715,8.62333958333333,-14.4991171409345,3.70747552523377e-28,3.75381896929919e-25,53.4517648758617
"206283_s_at",-2.21433666666667,7.125702,-14.4833744841483,4.02993920186141e-28,4.0061259247595e-25,53.3696620670084
"43511_s_at",-1.38764733333333,8.75818716666667,-14.4481726417486,4.85657106634729e-28,4.74166112593818e-25,53.185978086526
"212115_at",1.095486,9.92798266666667,14.4189593802711,5.67045181841699e-28,5.43915707319209e-25,53.0334427945279
"209074_s_at",-3.4444825,9.46268525,-14.3969965577946,6.37133237034177e-28,6.00607926462821e-25,52.9187058326506
"228568_at",-2.30643966666667,8.0476025,-14.374524780105,7.17856677366644e-28,6.65234132796971e-25,52.8012574280853
"200878_at",-1.630025,12.8917025,-14.3648915743164,7.55532911962567e-28,6.88479366025889e-25,52.7508933790536
"239942_at",-2.24147366666666,5.56265266666667,-14.3122956110634,9.99124012556119e-28,8.95526317811571e-25,52.4757414671806
"230670_at",-1.87920333333333,8.08363333333333,-14.3092170959619,1.01560974837718e-27,8.95620370847135e-25,52.4596275051731
"1552797_s_at",2.58946683333333,7.85914391666667,14.2801056689329,1.18565325512933e-27,1.02897764641581e-24,52.3072000535496
"235108_at",-2.0032765,7.31243941666667,-14.2382414949465,1.4815096836707e-27,1.26564909304212e-24,52.0878455189876
"204677_at",-2.2025655,9.08136291666667,-14.2317533221727,1.53357573536459e-27,1.28997312817014e-24,52.053833460345
"227463_at",-1.3293345,8.38454675,-14.2248298877128,1.59116160469953e-27,1.31813273843859e-24,52.0175349190818
"242600_at",-1.152041,6.25228033333333,-14.1740142385579,2.08582694956566e-27,1.69738282419059e-24,51.7509657857656
"238206_at",-2.00599833333333,5.73718933333333,-14.1717583481761,2.11105682752556e-27,1.69738282419059e-24,51.7391257083755
"210838_s_at",-1.13336983333333,7.59448641666667,-14.1315578028851,2.61569663304263e-27,2.07265526683487e-24,51.528045828785
"227874_at",-2.92047883333333,8.60829175,-14.1157895706498,2.84523827104014e-27,2.22233432098743e-24,51.4452073439364
"233903_s_at",-2.22339716666667,6.32885008333333,-14.1110559019225,2.91801476499347e-27,2.24707686304251e-24,51.4203340966156
"225681_at",3.193161,9.455979,14.0963355360866,3.15648344055525e-27,2.39695461267164e-24,51.3429709416162
"223449_at",-1.61518283333333,7.95446808333333,-14.0762405924182,3.51390838865292e-27,2.63182111163833e-24,51.2373264494442
"228434_at",-2.91837833333333,7.8622695,-14.0629365869088,3.77261925343141e-27,2.78740483353192e-24,51.1673614751075
"206702_at",-2.6043515,8.23853391666667,-14.0563165612533,3.90838965017943e-27,2.84921605498081e-24,51.132540561062
"236154_at",-1.61395183333334,5.60090375,-14.047902707552,4.0880489587821e-27,2.92762348466972e-24,51.0882779134368
"230482_at",-1.9456845,7.06183275,-14.0385770811621,4.29687661570985e-27,3.01194524312738e-24,51.0392104718368
"202148_s_at",1.31495883333334,7.92401708333333,13.9881866665765,5.62507732058393e-27,3.84438878128658e-24,50.7739283963295
"204500_s_at",-1.0663335,8.56415675,-13.9529543153367,6.79170487179288e-27,4.58440078846019e-24,50.5882975790409
"226673_at",-1.5508275,8.78825591666667,-13.9372645605477,7.3866073317819e-27,4.92515555933141e-24,50.5055928271259
"226694_at",-1.73913116666666,11.26835775,-13.9084605589656,8.61822147786241e-27,5.67712360604972e-24,50.3536969280096
"205978_at",-2.27307616666667,5.79932275,-13.9057520298833,8.74413867268502e-27,5.6914974039173e-24,50.3394095337756
"208981_at",-1.55655583333333,11.0857999166667,-13.8968893887939,9.16920095632482e-27,5.89795367396541e-24,50.2926544392955
"63305_at",-1.2342025,7.57820941666667,-13.8696123294365,1.06120137458889e-26,6.69950961305264e-24,50.1487058553515
"220677_s_at",-1.72410266666667,7.24964633333333,-13.8687634174203,1.06603993842813e-26,6.69950961305264e-24,50.1442247582103
"203571_s_at",-2.566354,10.5363721666667,-13.7652065761291,1.85779778613233e-26,1.1542624313271e-23,49.5970679117021
"209789_at",-1.57073016666666,6.12352975,-13.7464307408147,2.05485226845787e-26,1.25889340458757e-23,49.4977540369634
"212975_at",-1.37773016666666,8.23841508333333,-13.7448605444057,2.07225251783962e-26,1.25889340458757e-23,49.4894470531136
"216620_s_at",-1.10972333333333,8.95456383333333,-13.7346254114961,2.18935318348628e-26,1.31541632205618e-23,49.4352933136793
"227178_at",-1.355449,8.76613283333333,-13.6878911700489,2.81432615306472e-26,1.67253567846537e-23,49.1878993169494
"219125_s_at",1.12638516666667,8.69296158333333,13.6748119461332,3.01933491110061e-26,1.77507673402609e-23,49.1186262169014
"226140_s_at",-1.2990245,10.1549040833333,-13.6712215056515,3.07818894958872e-26,1.79042532785918e-23,49.0996069484245
"228665_at",-1.76472783333333,8.86876958333333,-13.6671741008702,3.14591448454717e-26,1.80347846101119e-23,49.0781656177844
"243813_at",-2.32953966666667,6.32073166666667,-13.6659552238117,3.16660141302377e-26,1.80347846101119e-23,49.0717082579271
"241782_at",-1.96185116666666,6.70275358333333,-13.6619726312753,3.23515056546637e-26,1.82352430068942e-23,49.0506083434414
"225660_at",-1.82189866666666,7.14276383333333,-13.6527886517599,3.3989553198373e-26,1.89630491951127e-23,49.0019457084829
"213316_at",-2.17507833333333,7.720525,-13.607048810195,4.34738633928271e-26,2.40094291010386e-23,48.7594709354829
"212636_at",-1.7168855,10.2932375833333,-13.5988715953808,4.54302222440947e-26,2.48389740119588e-23,48.7161019088204
"204642_at",-1.98711933333333,8.86766533333333,-13.5906059560646,4.74975061082077e-26,2.57121400640223e-23,48.6722577106963
"208982_at",-1.49800016666667,11.83592825,-13.5776650345498,5.09252659448944e-26,2.7297440348403e-23,48.6036014883867
"229172_at",-1.53015,8.16922816666667,-13.5714198118399,5.26671864238021e-26,2.79570720167124e-23,48.5704629032774
"219059_s_at",-2.29578633333334,8.12991033333333,-13.5281947600952,6.64781343898801e-26,3.4686754768301e-23,48.341004188254
"213900_at",-1.79586033333333,8.36088116666667,-13.5278165073143,6.66137951654615e-26,3.4686754768301e-23,48.3389955034733
"237390_at",-1.89206833333333,4.96318133333333,-13.4847222478804,8.40364287196535e-26,4.33461484928968e-23,48.1100626642202
"227419_x_at",-2.06921466666666,8.786724,-13.4440993450033,1.04627994962866e-25,5.34629497625674e-23,47.8941074655749
"202759_s_at",-2.0768775,10.7076249166667,-13.3668835491081,1.58757347632691e-25,8.037090723905e-23,47.4832218427905
"225372_at",-1.17950866666667,7.15867316666667,-13.3579789397348,1.66583065475011e-25,8.35589826132681e-23,47.4358047783955
"244455_at",-2.1602865,6.71120575,-13.3159511388181,2.09073411826089e-25,1.03918989014467e-22,47.2119147330896
"213103_at",-1.34765233333333,8.07415416666667,-13.3071408544457,2.19275749816253e-25,1.08008122713546e-22,47.1649615488187
"228339_at",-1.79842333333333,8.88407683333333,-13.2903067229079,2.4017891862279e-25,1.17248056925902e-22,47.0752280559237
"236088_at",-1.37876666666666,6.22980366666667,-13.2725918237934,2.64337647841042e-25,1.27899653944327e-22,46.9807737858042
"220994_s_at",-2.13920816666666,7.70348441666667,-13.2517410624107,2.95914076955023e-25,1.41921948750139e-22,46.8695655291337
"203065_s_at",-2.65232816666667,11.58513525,-13.2450392725953,3.0684597991438e-25,1.45885251754945e-22,46.8338135608723
"227452_at",2.24942533333334,6.678193,13.2386130403462,3.17708578919447e-25,1.48467662841203e-22,46.799528081098
"231947_at",-1.87116283333333,8.07350725,-13.2120173848177,3.66920939005776e-25,1.70011884238481e-22,46.6575973557207
"224762_at",1.6963555,8.21185025,13.1900397356081,4.13308881216257e-25,1.89896328407553e-22,46.5402669204283
"213317_at",-3.45981,9.73508733333333,-13.1860992275386,4.22227505762531e-25,1.92377407313053e-22,46.5192258140732
"212822_at",-1.43910283333333,9.48953275,-13.1775760474136,4.42183874292942e-25,1.99804986173278e-22,46.4737102775252
"226985_at",-1.496624,8.51792533333333,-13.1662043327965,4.70290525286001e-25,2.10763397295181e-22,46.4129737056898
